,Description,Time,Overall CoP Displacement
0,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",0.0,43.33132510652787
1,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",1.0,43.84573865859313
2,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",2.0,44.04296458575031
3,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",3.0,43.06103413957111
4,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",4.0,43.23291954994049
5,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",5.0,43.80515820394339
6,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",6.0,43.84663069521379
7,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",7.0,44.58656536722803
8,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",8.0,45.23371813917868
9,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",9.0,47.67012680124617
10,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",10.0,46.8152505447536
11,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",11.0,46.56008696984928
12,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",12.0,46.117973122638205
13,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",13.0,45.044432737425325
14,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",14.0,46.06501945885093
15,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",15.0,44.9802640025341
16,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",16.0,44.70991836581562
17,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",17.0,45.23946997509961
18,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",18.0,45.37700279166542
19,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",19.0,46.02226745718167
20,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",20.0,45.11699890483148
21,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",21.0,45.00586621181123
22,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",22.0,43.63620644273486
23,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",23.0,45.272651124740726
24,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",24.0,44.65085922742662
25,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",25.0,47.029228401572844
26,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",26.0,43.77280380399013
27,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",27.0,44.370863187787464
28,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",28.0,44.60716401109983
29,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",29.0,43.965195099185294
30,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",30.0,42.835877259258886
31,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",31.0,42.962950442741224
32,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",32.0,42.97908944908402
33,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",33.0,43.89733069143796
34,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",34.0,45.581676081480545
35,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",35.0,43.96756758892969
36,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",36.0,44.59475847164102
37,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",37.0,43.568697427142475
38,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",38.0,42.99694927679365
39,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",39.0,45.87204044806848
40,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",40.0,44.30538028988332
41,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",41.0,42.870139960281946
42,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",42.0,44.09346860981481
43,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",43.0,45.09303157662384
44,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",44.0,44.35048100027594
45,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",45.0,44.298212066788345
46,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",46.0,43.56645722545404
47,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",47.0,43.782375135075995
48,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",48.0,43.61880488472552
49,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",49.0,42.85313974256122
50,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",50.0,43.263187828573415
51,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",51.0,43.81252454405013
52,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",52.0,43.4654597052031
53,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",53.0,43.650940075019925
54,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",54.0,43.3756249023515
55,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",55.0,42.05106610837331
56,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",56.0,45.235509289931244
57,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",57.0,42.306528612662525
58,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",58.0,42.01242375877795
59,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",59.0,43.083038044171076
60,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",0.0,45.13773067829625
61,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",1.0,43.467639415867346
62,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",2.0,45.31109322237207
63,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",3.0,45.71113574234899
64,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",4.0,45.15297702473573
65,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",5.0,45.035653331423745
66,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",6.0,46.56539026219658
67,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",7.0,45.14129844088859
68,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",8.0,46.68640841330489
69,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",9.0,45.53100010010526
70,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",10.0,45.50675501692117
71,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",11.0,47.005652324671495
72,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",12.0,48.117719230444386
73,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",13.0,46.760148672023796
74,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",14.0,46.43865374554002
75,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",15.0,45.90911378513844
76,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",16.0,44.892200239569206
77,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",17.0,45.128940516620204
78,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",18.0,45.23135065223759
79,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",19.0,44.88481967563832
80,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",20.0,45.18129183032553
81,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",21.0,44.84309430421199
82,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",22.0,43.90310281967056
83,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",23.0,43.806287854125735
