,Description,Time,Overall CoP Displacement
0,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",0.0,0.04333132510652787
1,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",1.0,0.043845738658593134
2,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",2.0,0.044042964585750306
3,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",3.0,0.04306103413957111
4,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",4.0,0.043232919549940484
5,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",5.0,0.043805158203943394
6,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",6.0,0.04384663069521379
7,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",7.0,0.044586565367228034
8,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",8.0,0.04523371813917868
9,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",9.0,0.047670126801246174
10,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",10.0,0.0468152505447536
11,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",11.0,0.04656008696984928
12,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",12.0,0.04611797312263821
13,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",13.0,0.045044432737425324
14,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",14.0,0.04606501945885093
15,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",15.0,0.0449802640025341
16,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",16.0,0.044709918365815615
17,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",17.0,0.0452394699750996
18,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",18.0,0.04537700279166542
19,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",19.0,0.04602226745718167
20,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",20.0,0.04511699890483149
21,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",21.0,0.04500586621181123
22,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",22.0,0.04363620644273486
23,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",23.0,0.04527265112474073
24,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",24.0,0.04465085922742663
25,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",25.0,0.04702922840157285
26,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",26.0,0.043772803803990123
27,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",27.0,0.044370863187787456
28,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",28.0,0.044607164011099834
29,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",29.0,0.04396519509918529
30,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",30.0,0.042835877259258894
31,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",31.0,0.04296295044274123
32,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",32.0,0.04297908944908402
33,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",33.0,0.04389733069143796
34,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",34.0,0.04558167608148054
35,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",35.0,0.04396756758892968
36,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",36.0,0.04459475847164102
37,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",37.0,0.04356869742714247
38,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",38.0,0.04299694927679365
39,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",39.0,0.045872040448068474
40,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",40.0,0.04430538028988331
41,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",41.0,0.042870139960281946
42,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",42.0,0.044093468609814813
43,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",43.0,0.04509303157662383
44,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",44.0,0.04435048100027594
45,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",45.0,0.04429821206678835
46,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",46.0,0.04356645722545404
47,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",47.0,0.043782375135076
48,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",48.0,0.04361880488472552
49,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",49.0,0.04285313974256122
50,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",50.0,0.04326318782857342
51,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",51.0,0.04381252454405012
52,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",52.0,0.0434654597052031
53,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",53.0,0.04365094007501992
54,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",54.0,0.043375624902351494
55,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",55.0,0.042051066108373315
56,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",56.0,0.04523550928993124
57,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",57.0,0.04230652861266253
58,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",58.0,0.04201242375877795
59,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.1Hz",59.0,0.043083038044171074
60,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",0.0,0.04513773067829625
61,"Eyes closed, VR environment off, Mozart's Jupiter with loudness shifted at 0.25Hz",1.0,0.04346763941586734
